uuid,match_id,player_id,player_name,team_name,position_group,passing_score,shooting_score,positioning_score,pressing_score,movement_score,physical_score,behavioral_score,vaep_rating,offensive_value,defensive_value,overall_score,percentile_in_team,percentile_in_league,percentile_in_position,position_fit_score,performance_trend,player_cluster
dbd92d8f-b29f-662b-573f-b06dd5548ff7,265839,5246.0,Luis Alberto Suárez Díaz,Barcelona,Attacker,3.95,6.64,5.87,3.41,4.34,7.49,10.0,1.0702934,0.5002043,0.5700891,6.45,85.7,92.6,66.7,6.26,Stable,Ball-Playing Defender
6e0c218c-52e4-d8cd-7689-857fe365228d,265839,4320.0,Neymar da Silva Santos Junior,Barcelona,Attacker,5.58,7.83,6.32,4.29,8.38,8.7,7.74,1.5671589,0.7973797,0.7697792,7.56,92.9,96.3,83.3,7.34,Stable,Target Forward
c09d7780-07f3-3bf4-d187-cc3ac3a138cb,265839,6400.0,Aleix Vidal Parreu,Barcelona,Defender,6.39,0.0,4.54,2.29,5.32,3.8,10.0,0.05148278,-0.02136676,0.072849534,4.6,50.0,63.0,66.7,5.37,Stable,Box-to-Box Midfielder
4c778920-0d1b-f44f-7849-3885cc516ad4,265839,10609.0,Jérémy Mathieu,Barcelona,Defender,5.52,1.2,4.65,1.66,5.73,7.72,10.0,-0.35517436,-0.24825346,-0.106920905,4.5,42.9,55.6,55.6,5.25,Declining,Creative Playmaker
50df0c02-ae20-191e-cd90-bac24845798a,265839,5211.0,Jordi Alba Ramos,Barcelona,Defender,6.5,0.81,4.1,4.59,6.36,8.4,10.0,-0.21500649,-0.18905175,-0.025954744,5.27,64.3,77.8,100.0,6.15,Stable,Box-to-Box Midfielder
300de6d6-49b7-ee3e-68ba-354063d5214e,265839,5213.0,Gerard Piqué Bernabéu,Barcelona,Defender,7.37,7.26,4.18,2.13,6.74,8.35,10.0,-0.6611871,-0.23232812,-0.428859,4.89,57.1,70.4,77.8,5.7,Stable,Box-to-Box Midfielder
676e97f6-a9cb-8ac8-4d13-7758e5057d68,265839,6356.0,Michael Krohn-Dehli,Sevilla,Attacker,5.41,2.35,3.78,5.54,5.62,7.03,8.29,0.087771244,0.20722058,-0.11944935,4.59,76.9,59.3,16.7,4.46,Stable,Unknown
778f1183-e54d-3056-9e5f-fb5beaf99b57,265839,5503.0,Lionel Andrés Messi Cuccittini,Barcelona,Attacker,7.97,6.86,7.26,1.84,10.0,9.51,10.0,2.9031503,1.7977397,1.1054108,7.88,100.0,100.0,100.0,7.65,Declining,Target Forward
ed0c84b6-a967-5da1-dc27-2336008abf5d,265839,27483.0,Benoît Trémoulinas,Sevilla,Defender,5.12,0.0,4.41,2.53,7.14,6.75,9.71,0.2193141,0.23282997,-0.013515865,4.98,92.3,74.1,88.9,5.81,Stable,Unknown
abf693a2-ffad-4a4f-cafe-7d657d687556,265839,6841.0,Víctor Machín Pérez,Sevilla,Attacker,3.76,5.82,3.68,6.49,4.42,6.84,8.0,-0.27833933,-0.37210113,0.09376184,4.86,84.6,66.7,33.3,4.72,Stable,Unknown
